"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","pert","perc","gali","lap2","eute"
"34","Perityle_discoidea_81",181561,164.2,4,1,155,4.76,98.72,96.15,94.23,87.18,0.319945970790651,0.153490985259109,0.127471465792696,0.219890205541863,0.208956837099904
"35","Perityle_dissecta_201",265152,239.7,4,3,155,1.666,84.81,70.25,58.23,41.14,0.157499291109749,0.0860336856616892,0.103127417607279,0.727347874846763,0.124718314407007
"36","Perityle_emoryi_47_punta_san_jose",184330,166.7,4,3,144,6.684,98.64,98.64,97.96,95.92,0.252784633511418,0.139380586121975,0.14624714209106,0.292587282696233,0.162571419831346
"37","Perityle_feddemae_99",266348,240.8,4,7,153,1.018,80.62,56.25,40,16.87,0.236107542489909,0.115886539452711,0.312587997995931,0.213022777111028,0.154486066122613
"38","Perityle_fosteri_93",212709,192.3,4,4,155,2.219,97.48,79.87,72.33,47.8,0.159352642445994,0.0940038005668161,0.118251021233885,0.726199578302309,0.144987950824408
"39","Perityle_gamon_221",254081,229.7,4,4,156,1.181,83.12,56.25,44.38,27.5,0.250933585428697,0.116883176976524,0.341446353762001,0.206929224021892,0.148317364068645
"40","Perityle_gentryi_8_san_francisco",225757,204.1,4,7,153,1.474,85.62,68.12,53.12,28.12,0.181043404556757,0.112602128478622,0.153701060647014,0.455827774829454,0.143395726196505
"41","Perityle_gilensis_22_Superstition",269196,243.4,4,2,156,2.484,98.73,89.87,76.58,55.7,0.19265257007265,0.0746613902742686,0.0754379910641412,0.720549465797142,0.112598951092923
"42","Perityle_gilensis_salensis_225",258564,233.8,4,3,157,1.031,66.25,45.63,35.62,25.62,0.13878535622119,0.083021980506982,0.0925576842966859,0.823536216936856,0.110937728365017
"43","Perityle_glaucescens_94",265944,240.5,4,11,148,1.433,96.86,77.99,58.49,25.16,0.235994427150138,0.123366769027127,0.335355188586251,0.235015820815673,0.157105104839724
