"","pert","perc","gali","lap2","eute"
"Perityle_specuicola_41_negro_bill_canyon",5.55045,5.96795,5.91633,37.44915,6.15718
"Perityle_stansburyi_42_rock_spring",6.53511,5.67879,6.28314,36.62032,7.26577
"Perityle_staurophylla_42",6.41267,5.64162,6.28206,40.82443,8.13112
"Perityle_tenella_86_Beaver_dam",9.89346,5.32488,4.62974,25.98417,6.55908
"Perityle_trichodonta_bolanos_208",8.34415,17.70297,7.80898,10.58073,12.23492
"Perityle_turneri_33_Mexiquilla",2.69561,2.44963,60.15762,3.62647,2.25536
"Perityle_vandevenderi_117_sierra_cucurpe",6.62965,5.93354,6.51525,33.83184,6.13849
"Perityle_vaseyi_ernst_209",6.63918,6.36709,6.32656,38.43039,8.02639
"Perityle_vigilans_109",9.90382,6.0193,12.32003,9.28696,6.04651
"Perityle_villosa_45_Hanuapah_cyn",5.8269,6.14455,6.77517,39.40385,6.37183
"Perityle_yellow_87",17.79436,9.4984,8.29961,15.47918,9.33495
