"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","pert","perc","gali","lap2","eute"
"41","Perityle_gilensis_22_Superstition",269196,243.4,4,2,156,2.484,98.73,89.87,76.58,55.7,7.52793,5.00196,4.53817,40.29768,6.62557
"42","Perityle_gilensis_salensis_225",258564,233.8,4,3,157,1.031,66.25,45.63,35.62,25.62,5.42306,5.56208,5.56805,46.05735,6.52782
"43","Perityle_glaucescens_94",265944,240.5,4,11,148,1.433,96.86,77.99,58.49,25.16,9.22152,8.26499,20.17417,13.14357,9.24441
"44","Perityle_gracilis_11",214008,193.5,4,5,155,2.741,98.75,95,83.12,62.5,6.42213,5.85636,6.43479,40.56683,8.35042
"45","Perityle_harkerae_31",225382,203.8,4,6,154,1.524,90,76.88,59.38,33.13,8.05695,7.44091,16.89295,12.00641,8.94716
"46","Perityle_hofmeisteria_4_nombre_de_dios",317036,286.6,4,7,150,0.819,77.07,43.31,32.48,17.2,6.71241,8.76811,22.69012,11.90468,7.55298
"47","Perityle_huecosensis_48",266161,240.6,4,8,151,1.14,77.36,52.83,43.4,23.27,7.28918,5.7291,7.02468,39.43048,7.5165
"48","Perityle_incana_3_ucla",141664,128.1,4,0,151,6.427,98.68,97.35,96.69,93.38,15.02088,7.44003,11.8644,15.44175,9.44789
"49","Perityle_intricata_59_Clark_mtns",278276,251.6,4,5,154,2.098,99.37,83.65,66.67,47.8,5.98517,7.11503,5.99067,41.80968,6.16354
"50","Perityle_inyoensis_9_pleasant",274175,247.9,4,3,156,1.411,84.28,65.41,47.8,35.22,5.8305,6.38035,6.23736,39.439,6.8868
"51","Perityle_jaliscana_203",236734,214,4,9,151,1.671,98.12,86.25,66.88,35,9.33347,7.5375,18.05436,12.00231,9.39527
"52","Perityle_lemmonii_12",230326,208.2,4,6,153,2.132,94.97,74.21,65.41,44.65,7.39639,5.2272,5.71167,41.49918,7.85505
"53","Perityle_lemmonii_85_hachita",260007,235.1,4,2,157,1.641,84.91,61.64,53.46,37.74,5.06013,5.30401,5.61014,34.79851,6.58413
"54","Perityle_lemmonii_colossal_cave_206",246054,222.5,4,3,156,2.495,96.23,79.87,71.7,56.6,6.05998,5.22423,6.00399,42.84541,7.03051
"55","Perityle_leptoglossa_20_rancho_las_laminas",248242,224.4,4,4,154,2.082,93.67,77.85,63.29,44.3,7.36357,7.42941,8.4928,27.2129,8.38112
"56","Perityle_lindheimeri_34",211920,191.6,4,2,158,2.236,95.62,78.12,69.38,51.88,7.92718,5.74866,6.50955,39.20427,8.30274
"57","Perityle_lineariloba_78",202188,182.8,4,2,156,2.301,92.41,77.85,66.46,51.27,8.99165,7.28054,19.53125,12.16755,9.70474
"58","Perityle_lloydii_79",127937,115.7,4,2,156,1.398,72.15,46.2,36.08,28.48,11.20313,6.40797,9.05962,23.17381,9.29464
"59","Perityle_lobata_119_mesa_tinajas",131069,118.5,4,2,158,2.486,95.62,83.75,70.62,52.5,11.08747,7.09584,6.93086,23.51444,8.44346
"60","Perityle_megalocephala_19_meg_Echo",253222,228.9,4,3,156,1.721,89.94,75.47,61.01,34.59,6.8066,6.08094,6.10695,37.20411,6.72583
"61","Perityle_megalocephala_29_tin_mountain",288092,260.5,4,2,158,2.118,98.75,86.88,75,50,5.60723,5.94656,6.06814,39.98077,5.86831
