sample,abbreviation
Galeana_pratensis_104_mex,GalP
Eutetras_palmeri_63,EutP
Pericome_caudata_50_silver,Peri
Perityle_californica_76_positas,PerC
Perityle_socorrensis_san_benedicto_213,PerS
Amauria_carterae_99_mesa,AmauC
Perityle_lineariloba_78,GalL
Perityle_canescens_77,GalC
Perityle_gentryi_8_san_francisco,LapG
Perityle_lobata_119_mesa_tinajas,LapL
Perityle_cernua_84,LapC
Perityle_aglossa_84_dead_horse,LapA
Perityle_vandevenderi_117_sierra_cucurpe,LapV
Perityle_intricata_59_Clark_mtns,LapI
