sample,abbreviation
Galeana_pratensis_104_mex,GalP
Eutetras_palmeri_63,EutP
Pericome_caudata_50_silver,Peri
Perityle_californica_76_positas,PerC
Perityle_coronopifolia_28_patagonia,GalC
Perityle_vandevenderi_117_sierra_cucurpe,LapV
