sample,abbreviation
Perityle_californica_76_positas,pert
Pericome_caudata_50_silver,perc
Perityle_turneri_33_Mexiquilla,gali
Perityle_ambrosiifolia_67_green,lap2
Eutetras_palmeri_63,eute
