"","Amauria_brandeegeana_62","Amauria_carterae_99_mesa","Amauria_rotundifolia_SRR9119150","Conoclinium_coelestinum_SRR9119114","Eutetras_palmeri_63","Eutetras_pringlei_149_quer","Eutrochium_fistulosum_SRR9119106","Galeana_pratensis_104_mex","Helianthus_annuus_SRR9119062","Lycapsus_tenuifolius_17","Pericome_caudata_50_silver","Perityle_aglossa_84_dead_horse","Perityle_ajoensis_204","Perityle_ambrosiifolia_67_green","Perityle_angustifolia_13_Eagle_creek","Perityle_batopilensis_97","Perityle_bisetosa_9","Perityle_californica_76_positas","Perityle_canescens_77","Perityle_carmenensis_122_Spellenberg9960","Perityle_castillonii_96","Perityle_cernua_84","Perityle_cfvillosa_25_tin","Perityle_cinerea_113_Powell1310","Perityle_coahuilensis_24","Perityle_cochisensis_44_cave_creek","Perityle_congesta_202","Perityle_cordifolia_27","Perityle_cordifolia_68_tecolote","Perityle_coronopifolia_28_patagonia","Perityle_crassifolia_70_ventanas","Perityle_crassifolia_74_playa_balandra","Perityle_cuneata_34_cuneata_San_antonio","Perityle_cuneata_4","Perityle_discoidea_81","Perityle_dissecta_201","Perityle_emoryi_47_punta_san_jose","Perityle_feddemae_99","Perityle_fosteri_93","Perityle_gamon_221","Perityle_gentryi_8_san_francisco","Perityle_gilensis_22_Superstition","Perityle_gilensis_salensis_225","Perityle_glaucescens_94","Perityle_gracilis_11","Perityle_harkerae_31","Perityle_hofmeisteria_4_nombre_de_dios","Perityle_huecosensis_48","Perityle_incana_3_ucla","Perityle_intricata_59_Clark_mtns","Perityle_inyoensis_9_pleasant","Perityle_jaliscana_203","Perityle_lemmonii_12","Perityle_lemmonii_85_hachita","Perityle_lemmonii_colossal_cave_206","Perityle_leptoglossa_20_rancho_las_laminas","Perityle_lindheimeri_34","Perityle_lineariloba_78","Perityle_lloydii_79","Perityle_lobata_119_mesa_tinajas","Perityle_megalocephala_19_meg_Echo","Perityle_megalocephala_29_tin_mountain","Perityle_microglossa_73_tecolote","Perityle_microglossa_83_isla_venados","Perityle_montana_80","Perityle_palmeri_21_rancho_nuevo","Perityle_parryi_80_lower_window","Perityle_pseudociliata_140","Perityle_reinana_7_mazatan","Perityle_rosei_74","Perityle_rosei_jalisco_223","Perityle_rupestris_10_rupestris_davis","Perityle_rupestris_30_albiflora_chisos","Perityle_saxicola_224","Perityle_socorrensis_san_benedicto_213","Perityle_specuicola_41_negro_bill_canyon","Perityle_stansburyi_42_rock_spring","Perityle_staurophylla_42","Perityle_tenella_86_Beaver_dam","Perityle_trichodonta_bolanos_208","Perityle_turneri_33_Mexiquilla","Perityle_vandevenderi_117_sierra_cucurpe","Perityle_vaseyi_ernst_209","Perityle_vigilans_109","Perityle_villosa_45_Hanuapah_cyn","Perityle_yellow_87"
"At5g47910",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"At5g48300",0,0.00173310225303293,0,0.00113895216400911,0,NA,0,0.00575815738963532,0,NA,0,0.00712025316455696,0.00415368639667705,0.00107642626480086,0.0316622691292876,0,0.0613747954173486,0.0418353576248313,0.00788288288288288,NA,0,0.0515574650912997,0.00459136822773186,NA,0.00203389830508475,0.0102127659574468,0,0,0.0204230488694384,0,0.00924214417744917,0.0537261698440208,0.0113240418118467,0.0390804597701149,NA,0,NA,0,0.00884086444007859,0.00370713623725672,0.00894632206759443,0.00906095551894563,0.00197433366238894,0.00583515681983953,0.0189349112426036,0.0313531353135314,0.00178412132024978,0,NA,0.0477430555555556,0,0.0192307692307692,0.0140562248995984,0,NA,0.00410846343467543,0.00763358778625954,NA,0.00592885375494071,0.00342465753424658,0.0111683848797251,0.0108786610878661,NA,0.00574712643678161,0.0196560196560197,0.0301369863013699,0.00477489768076398,0.00301431801055011,0.00888450148075025,0.0173010380622837,NA,0,0.0564681724845996,0.0007097232079489,0,0.00168634064080944,0.0255516840882695,0.0666666666666667,0.0231362467866324,0.01143583227446,0.0194805194805195,NA,0.00184162062615101,0.0592334494773519,0.00795053003533569,NA
"At5g48480",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0604838709677419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0340136054421769,NA,0.0395209580838323,0.00444938820912125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00789177001127396,NA,NA,NA,NA,NA,NA,NA,0.00296296296296296,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.0794979079497908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"At5g49130",NA,NA,NA,NA,NA,0.0249433106575964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105769230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"At5g49430",NA,NA,NA,NA,0,NA,0.00265604249667995,NA,0,NA,0,0,0,0,NA,NA,0.016025641025641,NA,NA,NA,0.00350877192982456,NA,0.0210970464135021,NA,NA,0.00391389432485323,0,NA,NA,NA,NA,NA,NA,0.0028169014084507,NA,0.0183299389002037,NA,NA,NA,NA,NA,NA,0,NA,0.0072202166064982,NA,NA,NA,0,0.0111111111111111,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.0105633802816901,NA,NA,NA,NA,NA,NA,NA,0,0.073943661971831,NA,NA,NA,NA,0.005,0,NA,NA,0.0173010380622837,NA,NA,0.0184049079754601,NA,0,NA
"At5g49480",NA,0.0037593984962406,NA,0.00297619047619048,0,NA,0.00366748166259169,NA,0,NA,0,0,0.00426439232409382,0.00330760749724366,0.00714285714285714,0.00616197183098592,0.00841121495327103,0.0120689655172414,0,NA,0.0124095139607032,0.0032258064516129,0.00280898876404494,NA,0.00586940572267058,0,0.012591815320042,0.00912921348314607,0.00925925925925926,0,0.0123762376237624,0,NA,0.0268714011516315,NA,0.00442151805453206,NA,NA,0.0146726862302483,0.004995004995005,0,0.00207253886010363,0,NA,0.00106382978723404,NA,0,0,NA,0.00526315789473684,0.00284090909090909,NA,0,0,0.0172413793103448,0,0.00340909090909091,0.00769230769230769,NA,0.00766871165644172,0,0.00174672489082969,0.0285714285714286,0,NA,0.0102040816326531,0.00409165302782324,0.00105932203389831,0.00975609756097561,0.00329308452250274,NA,0.00323624595469256,0,0.000701262272089762,0,0.00332225913621262,0.00447093889716841,0,0.00557103064066852,0,0.00371747211895911,0.00438212094653812,NA,0.0040650406504065,0,NA
"At5g49550",0.0361990950226244,0.00801603206412826,0,0,0,NA,0.00348432055749129,0,0.00112994350282486,NA,0,0.00140350877192982,0,0.00160771704180064,0.00495049504950495,0.0161839863713799,0.0264730999146029,NA,NA,NA,0.0123927550047664,0.0297142857142857,0.00679611650485437,NA,0.00342465753424658,0.00288461538461538,0,0,0.00383877159309021,NA,0.0234741784037559,NA,0.0370644922164566,NA,NA,NA,NA,NA,0.00751173708920188,0.0016273393002441,0.00424448217317487,0.00962962962962963,0,0.00424929178470255,0.0164778578784758,0.00643086816720257,0.00127388535031847,0.00307929176289453,NA,0.0329277022190408,0.00602863602110023,0.00993124522536287,NA,0,NA,0.019578313253012,0.0218687872763419,NA,0.00199203187250996,0.0394021739130435,0.00577617328519856,0.00833965125094769,NA,0,NA,0.0160965794768612,0.0139453805926787,NA,NA,0.00395256916996047,NA,NA,0,0.00322788896061975,0,0.00144300144300144,0,0.00074794315632012,0.00210970464135021,0.00472143531633617,NA,0.00286532951289398,0.0212940212940213,0.0146520146520147,0.0098661028893587,NA
"At5g49720",0.0805258833196385,0.0511921458625526,0.0256276150627615,NA,NA,0.0121359223300971,0.0405882352941176,0.0712871287128713,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0552532440351612,NA,NA,NA,NA,NA,0.0537745604963806,NA,0.0533553355335534,NA,NA,NA,NA,NA,0.0211081794195251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0686141304347826,0.105605199025183,NA,NA,0.0937818552497452,NA,0.091997479521109,NA,NA,0.0397932816537468,NA,NA,0.0783078307830783,NA,NA,NA,NA,NA,NA,0.0760389036251105,NA,NA,NA,NA,0.0207587687902649,NA,NA
"At5g49960",0.0274869109947644,0.0250569476082005,0,0.00113507377979569,0.00151171579743008,0,0.00216919739696312,0.0391872278664731,0,0,0,0,0,0,0.0132248219735504,0.000599161174355902,0.0152542372881356,0,0.0218579234972678,NA,0.00477164280845262,0,0,0.020703933747412,0.0454048140043764,0.00412087912087912,0,0,0.00651890482398957,0.0318809776833156,0,0.0130841121495327,0.0250368188512518,0,0,0.000558659217877095,0,0.00448430493273543,0.0245398773006135,0.000790513833992095,0.000921658986175115,0.0134453781512605,0.0334394904458599,0.0102489019033675,0.0288386593920499,0,0.00167317345231456,0.000561797752808989,0.117773019271949,0.00633356790992259,0.0156569094622192,0.00638977635782748,0.0342281879194631,0.0004739336492891,0.00697350069735007,0.0303468208092486,0.0145278450363196,0.00413223140495868,0.00434153400868307,0.0338235294117647,0,0.0144822592324403,0.0417558886509636,0.0358565737051793,0.0518582541054451,0.0125944584382872,0.00762994754411063,0.0325064157399487,0.000483325277912035,0.00271370420624152,0.0438356164383562,0.00193798449612403,0,0.00239234449760766,0,0.016506922257721,0.00634696755994358,0.00242865816636308,0.0191458026509573,0,0,0.0170542635658915,0,0.0258249641319943,0,0
"At5g50200",NA,NA,NA,NA,NA,0.0262626262626263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0826306913996627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118852459016393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"At5g50230",0.00299177262528048,0.035,0.00591278640059128,0,NA,NA,0.000914076782449726,0,0.00539956803455724,NA,0,0.00904977375565611,NA,0.00524246395806029,NA,0.00554400554400554,NA,0.00646352723915051,0.00950369588173178,NA,NA,NA,NA,0.0163934426229508,NA,NA,NA,0,0.0149253731343284,NA,0.0122137404580153,0.00154320987654321,NA,NA,NA,NA,NA,0.00146305779078274,NA,NA,0.00775193798449612,NA,NA,0.0058055152394775,NA,0.000720980533525595,0,NA,NA,NA,NA,0.0122950819672131,NA,NA,NA,0.00117302052785924,NA,NA,0.00425531914893617,0.0214105793450882,NA,NA,NA,0.0342105263157895,0.0223123732251521,0.00601503759398496,NA,0.000719424460431655,NA,0,NA,0.00921052631578947,0,NA,0,NA,NA,0.00844594594594595,0.0102827763496144,0.0031201248049922,0.000632911392405063,NA,NA,0.0128205128205128,NA,NA
"At5g50460",NA,NA,0,NA,NA,NA,NA,0,0,NA,0.00154320987654321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0364963503649635,NA,NA,NA,NA,0,NA,0.0172661870503597,0.00831600831600832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00445859872611465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.0219298245614035,NA,0.00804289544235925,NA,NA,NA,0.00282087447108604,NA,NA,NA,NA,NA,NA,NA,NA,0.0102040816326531,0.00284292821606254,NA,NA,NA,0.0120481927710843,NA,NA
"At5g51010",0.00432432432432432,0.0150602409638554,0.0224119530416222,0.00220994475138122,0.0273833671399594,0,0.00439882697947214,0.00355871886120996,0.00910273081924577,NA,0,0,0.0182481751824818,0.00623700623700624,NA,0.0144508670520231,0.0140388768898488,0.05320813771518,NA,NA,0.0297121634168988,0.0425101214574899,0.0182692307692308,NA,0.0366666666666667,0.00458015267175573,0.00474308300395257,0,0.000946969696969697,0,0,0,0.0913173652694611,0.0246507806080526,NA,0.010126582278481,0.0184804928131417,0,0.0193089430894309,0,0.022140221402214,0.00634632819582956,0.0526829268292683,0.010752688172043,0.00489715964740451,0.00208986415882968,0,0.000879507475813544,0.0138888888888889,0.00547445255474453,0.00217864923747277,NA,0.0385078219013237,0,0.0304219823356232,NA,0.0229007633587786,0.00409276944065484,0.00967741935483871,0.0190839694656489,0.0075839653304442,0.00448717948717949,0.0145137880986938,0.0188679245283019,NA,0.0766283524904215,0.0138768430182134,NA,NA,0.00302114803625378,NA,NA,0,NA,0,0.0239334027055151,0,0.0133928571428571,0.0211267605633803,0.00518672199170124,0.0202821869488536,0.00108459869848156,0.032901296111665,0,0.0121457489878543,NA
"At5g51040",NA,NA,0.0114285714285714,0.00418994413407821,NA,0,0.0206185567010309,NA,0,NA,0,0.000901713255184851,0,0.00698080279232112,0.0261096605744125,0.0132596685082873,0.0613138686131387,0.0275229357798165,0.00974930362116992,NA,0,NA,0.00503355704697987,0.0474308300395257,0.00148257968865827,0.00141043723554302,0.0117967332123412,0,0,0,0.0116279069767442,0.00314465408805031,0.0449101796407186,0.0164744645799012,NA,NA,NA,0.00373482726423903,0,0,0.018705035971223,0.0102516309412861,0,0.00635785649409628,0.00416666666666667,0.0146412884333821,0,0,NA,0.0159680638722555,0,0.0105485232067511,0.00570776255707763,0.00134589502018843,0,NA,NA,0.0256081946222791,0,0.00202839756592292,0.015625,0.00950734658599827,0.0419161676646707,0.0675105485232067,NA,0.0159744408945687,NA,0.00266666666666667,0,0.0153846153846154,NA,NA,0,0.00545171339563863,0,0.0131736526946108,0.00120481927710843,0.000989119683481701,NA,0.0155038759689922,0.00808314087759815,0.00669856459330144,0.0498442367601246,NA,0,NA
"At5g51070",0.0442643391521197,0.00874890638670166,0.00208768267223382,0.0046449900464499,0.0163067430586161,0,0.00283085633404105,0.00160513643659711,0.0153061224489796,NA,0.000352360817477097,0.0348189415041783,NA,NA,0.00973451327433628,0.0113222806308128,0.0048780487804878,0.005863539445629,0.000479386385426654,NA,0,0.00343642611683849,0.043940795559667,0.00273224043715847,NA,0,NA,NA,0.00112528132033008,0,0.000536768652710682,0.0039344262295082,NA,NA,NA,NA,NA,0.0041183077499064,0,0.00180115273775216,0.000917431192660551,0,0.050747621205256,0.00153374233128834,NA,0.0138277812696417,0,NA,0.0711237553342817,NA,0.0328322784810127,NA,NA,NA,NA,NA,0,0.00116459627329193,0.00114876507754164,0.0024896265560166,0.0154559505409583,NA,0.00959561343385881,0.0163398692810458,0.0240431795878312,0.0132187706543291,0.0434929197572488,0.000753295668549906,NA,0.000384319754035357,NA,0.011325782811459,0.0087719298245614,NA,0,NA,0,0,0.00441501103752759,0.00864304235090752,0,NA,0.0344427244582043,0.00732356857523302,0.00036231884057971,NA
