"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs"
"61","Perityle_megalocephala_29_tin_mountain",288092,260.5,4,2,158,2.118,98.75,86.88,75,50
"62","Perityle_microglossa_73_tecolote",179475,162.3,4,4,155,3.453,96.86,94.34,86.16,70.44
"63","Perityle_microglossa_83_isla_venados",77564,70.1,4,4,145,3.854,89.93,84.56,81.88,71.81
"64","Perityle_montana_80",189030,170.9,4,4,154,4.097,100,96.84,93.04,80.38
"65","Perityle_palmeri_21_rancho_nuevo",93421,84.5,4,4,152,3.136,96.79,88.46,77.56,57.69
"66","Perityle_parryi_80_lower_window",312456,282.5,4,2,155,2.26,93.63,85.99,75.16,52.23
"67","Perityle_pseudociliata_140",249077,225.2,4,13,146,1.036,91.19,61.01,37.74,16.98
"68","Perityle_reinana_7_mazatan",237307,214.6,4,0,160,1.973,95,80.62,65.62,45
"69","Perityle_rosei_74",218770,197.8,4,4,156,1.383,88.75,68.12,50,28.12
"70","Perityle_rosei_jalisco_223",225684,204.1,4,1,140,5.103,98.58,98.58,95.74,91.49
"71","Perityle_rupestris_10_rupestris_davis",71834,64.9,4,1,141,1.389,64.79,51.41,42.25,26.76
"72","Perityle_rupestris_30_albiflora_chisos",231188,209,4,3,157,1.597,86.25,61.25,50,38.75
"73","Perityle_saxicola_224",309550,279.9,4,5,155,1.694,93.75,69.38,56.25,33.13
"74","Perityle_socorrensis_san_benedicto_213",206021,186.3,4,1,159,0.653,42.5,33.75,28.12,15.62
"75","Perityle_specuicola_41_negro_bill_canyon",273496,247.3,4,7,153,1.77,96.88,79.38,60,37.5
"76","Perityle_stansburyi_42_rock_spring",227018,205.3,4,5,155,1.504,85,65.62,51.88,30
"77","Perityle_staurophylla_42",237637,214.9,4,3,157,1.816,90,66.88,56.88,44.38
"78","Perityle_tenella_86_Beaver_dam",99933,90.4,4,2,157,2.794,96.86,90.57,74.21,52.83
"79","Perityle_trichodonta_bolanos_208",222776,201.4,4,7,152,0.964,75.47,44.65,35.22,18.24
"80","Perityle_turneri_33_Mexiquilla",292701,264.6,4,6,153,1.088,75.47,50.31,33.96,25.16
"81","Perityle_vandevenderi_117_sierra_cucurpe",237655,214.9,4,2,155,1.317,92.99,61.78,44.59,28.03
"82","Perityle_vaseyi_ernst_209",239386,216.4,4,1,158,2.156,95.6,81.76,71.7,53.46
"83","Perityle_vigilans_109",115033,104,4,7,153,1.455,83.12,56.25,43.12,28.75
"84","Perityle_villosa_45_Hanuapah_cyn",272307,246.2,4,1,159,1.733,89.38,71.25,58.12,38.75
"85","Perityle_yellow_87",230091,208,4,2,142,7.084,97.92,97.92,97.92,97.22
