"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs"
"61","Perityle_megalocephala_19_meg_Echo",892710,153.1,0,0,616,1.525,87.99,65.1,45.62,26.62
"62","Perityle_megalocephala_29_tin_mountain",971726,166.6,0,0,597,2.121,98.49,86.93,67.67,40.37
"63","Perityle_microglossa_73_tecolote",693945,119,0,0,639,3.247,96.87,91.39,82,65.1
"64","Perityle_microglossa_83_isla_venados",460537,79,0,0,778,4.215,91.26,87.79,82.78,72.24
"65","Perityle_montana_80",678879,116.4,0,0,599,4.068,98.16,95.49,92.15,79.63
"66","Perityle_palmeri_21_rancho_nuevo",467730,80.2,0,0,753,3.552,97.74,91.37,81.27,57.9
"67","Perityle_parryi_80_lower_window",983569,168.7,0,0,549,2.365,94.35,87.25,76.87,49.91
"68","Perityle_pseudociliata_140",893337,153.2,0,0,630,1.032,89.84,53.17,31.75,16.35
"69","Perityle_reinana_7_mazatan",900303,154.4,0,0,630,2.044,91.59,78.41,63.81,40.16
"70","Perityle_rosei_74",818779,140.4,0,0,634,1.355,87.85,63.56,43.06,22.24
"71","Perityle_rosei_jalisco_223",554238,95,0,0,335,4.672,96.72,93.73,91.04,84.78
"72","Perityle_rupestris_10_rupestris_davis",420619,72.1,0,0,765,2.041,70.46,56.47,46.67,32.81
"73","Perityle_rupestris_30_albiflora_chisos",867811,148.8,0,0,628,1.578,83.76,57.17,45.54,30.73
"74","Perityle_saxicola_224",1003872,172.1,0,0,576,1.589,92.01,60.42,46.01,29.17
"75","Perityle_socorrensis_san_benedicto_213",828422,142.1,0,0,700,0.625,33.43,24.71,20.86,12.14
"76","Perityle_specuicola_41_negro_bill_canyon",959220,164.5,0,0,617,1.771,95.14,73.74,54.29,33.23
"77","Perityle_stansburyi_42_rock_spring",852139,146.1,0,0,667,1.551,79.01,56.67,43.03,27.74
"78","Perityle_staurophylla_42",831169,142.5,0,0,608,1.639,85.2,58.06,46.38,31.74
"79","Perityle_tenella_86_Beaver_dam",475316,81.5,0,0,734,2.999,96.32,86.65,74.8,52.72
"80","Perityle_trichodonta_bolanos_208",842625,144.5,0,0,661,0.79,65.36,35.25,23.3,12.86
"81","Perityle_turneri_33_Mexiquilla",987962,169.4,0,0,611,1.056,68.25,42.72,29.3,20.29
"82","Perityle_vandevenderi_117_sierra_cucurpe",881456,151.1,0,0,623,1.428,93.1,57.46,37.88,24.24
"83","Perityle_vaseyi_ernst_209",854773,146.6,0,0,598,2.101,95.32,83.44,70.57,45.15
"84","Perityle_vigilans_109",562798,96.5,0,0,782,1.565,84.53,58.06,42.46,26.98
"85","Perityle_villosa_45_Hanuapah_cyn",936481,160.6,0,0,613,1.576,84.01,64.11,47.47,29.85
"86","Perityle_yellow_87",423328,72.6,0,0,269,6.739,95.91,95.54,95.17,94.05
