"","pert","perc","gali","lap2","eute"
"Amauria_brandeegeana_62",0.301015274153708,0.155881900319231,0.1282713644589,0.240089102948308,0.220411711322826
"Amauria_carterae_99_mesa",0.343121819590758,0.137539859157221,0.11256063654114,0.196747971259328,0.185856239229669
"Amauria_rotundifolia_SRR9119150",0.288585638548889,0.164963287706729,0.119543293102353,0.217807465250708,0.184219148842158
"Conoclinium_coelestinum_SRR9119114",0.195987681176481,0.0981200613117911,0.089845309704739,0.118308338542568,0.125285594352353
"Eutetras_palmeri_63",0.107277103919728,0.0806962939323925,0.0570853700661695,0.074101246068041,1
"Eutetras_pringlei_149_quer",0.237964988499087,0.0723545109975674,0.0546806871681426,0.0861973396425869,0.433265241612312
"Eutrochium_fistulosum_SRR9119106",0.25118080130702,0.137726140964877,0.0922220659660405,0.163368160107799,0.178544819874172
"Galeana_pratensis_104_mex",0.278681136558366,0.106941430342769,0.0770864937808377,0.133848070103665,0.137039743585386
"Helianthus_annuus_SRR9119062",0.200164503485079,0.0771012640146088,0.0788988992583151,0.0948587355649362,0.108353358643966
"Lycapsus_tenuifolius_17",0.295189066404335,0.162902097416728,0.147272614840813,0.227970300924502,0.206006743459626
"Pericome_caudata_50_silver",0.0790648074121769,1,0.0387728104935002,0.0548274944605688,0.0605893389438192
"Perityle_aglossa_84_dead_horse",0.170135963614736,0.0937019882149889,0.110772833100778,0.674301294989551,0.113150256108711
"Perityle_ajoensis_204",0.157874209600165,0.0851907903348997,0.101722774271987,0.721497141238687,0.125330969950138
"Perityle_ambrosiifolia_67_green",0.100634008920245,0.0506671590397352,0.0599156017142965,1,0.0722362522135474
"Perityle_angustifolia_13_Eagle_creek",0.218163406112733,0.0753671117378884,0.0917235422544974,0.535325943133752,0.118615891316096
"Perityle_batopilensis_97",0.176918789328054,0.114131639442605,0.160832825500743,0.518757715508548,0.157327904123231
"Perityle_bisetosa_9",0.181909171965003,0.0827155409628172,0.115998438768023,0.665551926177156,0.141714279887564
"Perityle_californica_76_positas",1,0.0484192391492713,0.043899675552324,0.0598104792162259,0.0521384312619175
"Perityle_canescens_77",0.247524514295015,0.103056827743212,0.326240300065062,0.21732540242233,0.156306018469738
"Perityle_carmenensis_122_Spellenberg9960",NA,NA,NA,NA,NA
"Perityle_castillonii_96",0.182765470442092,0.0841769874201567,0.102863444398233,0.663251935761194,0.139529793243624
"Perityle_cernua_84",0.201257269324041,0.085552457658578,0.107606816892025,0.63591239330605,0.143069259816934
"Perityle_cfvillosa_25_tin",0.165324978835659,0.099437169221051,0.109523781027241,0.679402113351996,0.107329263691704
"Perityle_cinerea_113_Powell1310",0.212383263433854,0.0631101270283708,0.0748550225225001,0.299913707892813,0.0893329957071625
"Perityle_coahuilensis_24",0.116258513080945,0.0798860874805042,0.101971121862866,0.86095419830949,0.102908116963676
"Perityle_cochisensis_44_cave_creek",0.247395020263513,0.089283019532573,0.0881984692878475,0.551909011713984,0.111039356108371
"Perityle_congesta_202",0.144993136304496,0.0906840139609856,0.101893326231989,0.76658199574011,0.123822018891204
"Perityle_cordifolia_27",0.152528358169231,0.122026972948986,0.147413411634303,0.573363847290507,0.145092977488945
"Perityle_cordifolia_68_tecolote",0.152506349302217,0.135794512060329,0.16605892985793,0.473462047923053,0.130421194312925
"Perityle_coronopifolia_28_patagonia",0.179857484908571,0.111776547807032,0.300195220489108,0.215611003906569,0.119322187137802
"Perityle_crassifolia_70_ventanas",0.358644980596369,0.12684044709425,0.111642548358795,0.171973589537091,0.146544656725955
"Perityle_crassifolia_74_playa_balandra",0.367529397192488,0.123705598917655,0.0980963010172277,0.152495283079595,0.13681082624375
"Perityle_cuneata_34_cuneata_San_antonio",0.696278402954716,0.111761173587329,0.0952195249745585,0.143979256993845,0.114296882169599
"Perityle_cuneata_4",0.432179676295631,0.149346215038763,0.152757705507631,0.18385243298683,0.18823752341007
"Perityle_discoidea_81",0.319945970790651,0.153490985259109,0.127471465792696,0.219890205541863,0.208956837099904
"Perityle_dissecta_201",0.157499291109749,0.0860336856616892,0.103127417607279,0.727347874846763,0.124718314407007
"Perityle_emoryi_47_punta_san_jose",0.252784633511418,0.139380586121975,0.14624714209106,0.292587282696233,0.162571419831346
"Perityle_feddemae_99",0.236107542489909,0.115886539452711,0.312587997995931,0.213022777111028,0.154486066122613
"Perityle_fosteri_93",0.159352642445994,0.0940038005668161,0.118251021233885,0.726199578302309,0.144987950824408
"Perityle_gamon_221",0.250933585428697,0.116883176976524,0.341446353762001,0.206929224021892,0.148317364068645
"Perityle_gentryi_8_san_francisco",0.181043404556757,0.112602128478622,0.153701060647014,0.455827774829454,0.143395726196505
"Perityle_gilensis_22_Superstition",0.19265257007265,0.0746613902742686,0.0754379910641412,0.720549465797142,0.112598951092923
"Perityle_gilensis_salensis_225",0.13878535622119,0.083021980506982,0.0925576842966859,0.823536216936856,0.110937728365017
"Perityle_glaucescens_94",0.235994427150138,0.123366769027127,0.335355188586251,0.235015820815673,0.157105104839724
"Perityle_gracilis_11",0.164353261765275,0.0874145294137929,0.106965501627225,0.725362047780008,0.14191209710038
"Perityle_harkerae_31",0.206191094291105,0.111066199151074,0.280811474922046,0.214682639587228,0.152053458232357
"Perityle_hofmeisteria_4_nombre_de_dios",0.171782022133755,0.130876552926796,0.377177820532129,0.212863639159523,0.128359918561848
"Perityle_huecosensis_48",0.186542550305616,0.0855149923270702,0.116771241947404,0.705043349893217,0.127739955338176
