"","GalP","EutP","Peri","PerC","PerS","AmauC","GalL","GalC","LapG","LapL","LapC","LapA","LapV","LapI"
"Perityle_dissecta_201",1.38306,2.09389,1.46681,1.44514,1.56365,1.67073,1.16731,1.39382,3.78068,3.49903,10.15191,9.46235,8.3364,8.95165
"Perityle_emoryi_47_punta_san_jose",2.17217,3.50823,2.77514,2.77391,14.55976,5.28698,1.99896,1.87992,3.08812,4.9937,2.96006,2.57648,2.98366,2.81126
"Perityle_feddemae_99",2.49239,4.71393,3.15926,3.1217,3.51274,3.06504,6.07103,11.6616,3.2059,3.21827,2.99625,2.35571,2.28725,2.48445
"Perityle_fosteri_93",1.66822,2.34594,1.58481,1.33766,1.54854,1.88273,1.27383,1.35878,3.95142,4.05478,12.17484,8.45707,8.04364,7.76874
"Perityle_gamon_221",2.73294,4.04793,2.93024,3.11604,3.60852,3.19198,6.99019,9.50904,3.46084,3.07411,2.5495,2.14148,2.18738,2.65836
"Perityle_gentryi_8_san_francisco",1.19836,1.50184,1.1751,1.05839,1.02967,1.22204,1.06288,0.9407,51.65092,2.25339,1.90676,1.90774,1.75502,1.66815
"Perityle_gilensis_22_Superstition",2.65285,1.953,1.50915,1.84464,1.3463,1.88568,1.09987,1.68459,3.68038,4.65219,8.65972,6.146,7.39784,9.69604
"Perityle_gilensis_salensis_225",1.38543,2.14143,1.52603,1.31729,1.59773,1.41369,1.21858,1.41418,3.65925,4.19166,9.20035,7.34298,8.32159,11.09064
"Perityle_glaucescens_94",1.92526,4.87908,3.40735,3.04775,3.50973,3.00896,6.14096,12.06524,3.80708,3.28722,2.77554,2.51934,2.56417,2.45787
"Perityle_gracilis_11",1.68634,1.97474,1.30052,1.5118,1.30778,1.69115,1.01108,1.53158,2.66993,3.54892,5.99134,4.89818,6.24499,25.76999
