"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","GalP","EutP","Peri","PerC","PerS","AmauC","GalL","GalC","LapG","LapL","LapC","LapA","LapV","LapI"
"26","Perityle_congesta_202",267164,241.6,4,3,157,1.42,83.75,64.38,53.75,28.75,1.16032,1.77433,1.26057,1.13563,1.19403,1.46435,1.14879,1.14541,2.95578,3.55926,7.32427,5.73398,8.16681,23.29178
"27","Perityle_cordifolia_27",289639,261.9,4,3,155,1.03,61.39,43.67,32.28,21.52,1.3512,2.77518,2.27081,1.38232,2.01565,1.89671,2.0382,1.75799,6.3273,13.43128,5.65441,5.31935,5.59296,5.19315
"28","Perityle_cordifolia_68_tecolote",297178,268.7,4,3,156,0.933,80.5,55.35,38.99,18.87,1.68594,3.15936,3.0954,1.48259,1.88878,2.08195,2.13168,2.68463,6.84777,6.1417,4.91575,4.90444,5.70321,4.66408
"29","Perityle_coronopifolia_28_patagonia",259851,234.9,4,7,150,1.124,78.34,57.32,43.95,21.02,2.59463,3.3732,2.6316,2.24654,2.62725,2.41694,12.16604,6.49975,3.57507,2.50214,2.07447,2.15545,2.38291,2.16556
"30","Perityle_crassifolia_70_ventanas",154341,139.5,4,3,156,1.758,86.79,65.41,54.09,37.11,2.68627,1.96084,1.56955,3.46909,37.57792,2.76174,1.09155,1.59398,1.2491,1.68655,1.58103,0.83973,1.14456,0.95453
"31","Perityle_crassifolia_74_playa_balandra",96953,87.7,4,3,155,1.889,77.22,60.76,48.1,34.81,4.93599,2.1905,1.88314,3.9994,30.18378,3.52943,0.99847,1.57158,1.23855,2.5535,1.48044,0.78561,1.20522,1.06946
"32","Perityle_cuneata_34_cuneata_San_antonio",228243,206.4,4,1,154,2.858,98.71,91.61,80,65.81,2.31796,3.54114,3.33547,20.28171,4.66839,2.89895,1.57658,2.13818,1.77828,2.19256,1.41604,1.51271,1.6028,1.67082
"33","Perityle_cuneata_4",231811,209.6,4,2,152,3.213,99.35,94.16,81.17,65.58,2.1414,6.14528,4.22996,9.22506,8.7743,4.39825,2.6483,3.20081,2.79027,2.5364,2.24676,2.16138,2.33348,1.94
"34","Perityle_discoidea_81",181561,164.2,4,1,155,4.76,98.72,96.15,94.23,87.18,2.10871,4.63921,3.29079,3.63172,21.55955,8.04304,1.90933,2.31683,2.25409,2.58099,2.27564,1.58134,1.62107,1.4667
"35","Perityle_dissecta_201",265152,239.7,4,3,155,1.666,84.81,70.25,58.23,41.14,1.38306,2.09389,1.46681,1.44514,1.56365,1.67073,1.16731,1.39382,3.78068,3.49903,10.15191,9.46235,8.3364,8.95165
"36","Perityle_emoryi_47_punta_san_jose",184330,166.7,4,3,144,6.684,98.64,98.64,97.96,95.92,2.17217,3.50823,2.77514,2.77391,14.55976,5.28698,1.99896,1.87992,3.08812,4.9937,2.96006,2.57648,2.98366,2.81126
"37","Perityle_feddemae_99",266348,240.8,4,7,153,1.018,80.62,56.25,40,16.87,2.49239,4.71393,3.15926,3.1217,3.51274,3.06504,6.07103,11.6616,3.2059,3.21827,2.99625,2.35571,2.28725,2.48445
"38","Perityle_fosteri_93",212709,192.3,4,4,155,2.219,97.48,79.87,72.33,47.8,1.66822,2.34594,1.58481,1.33766,1.54854,1.88273,1.27383,1.35878,3.95142,4.05478,12.17484,8.45707,8.04364,7.76874
"39","Perityle_gamon_221",254081,229.7,4,4,156,1.181,83.12,56.25,44.38,27.5,2.73294,4.04793,2.93024,3.11604,3.60852,3.19198,6.99019,9.50904,3.46084,3.07411,2.5495,2.14148,2.18738,2.65836
