"","pert","perc","gali","lap1","lap2","eute"
"Amauria_brandeegeana_62",0.259647921302061,0.13296031432811,0.108446759819955,0.204926337486734,0.185310039940984,0.19196054457519
"Amauria_carterae_99_mesa",0.28398673527316,0.116081031047797,0.0945281735525469,0.226032343251738,0.150758483132627,0.158715823777187
"Amauria_rotundifolia_SRR9119150",0.226225687813472,0.143605837323992,0.105077401091306,0.177177684483937,0.167657996241341,0.16036423101319
"Conoclinium_coelestinum_SRR9119114",0.16315379691356,0.0832950203002566,0.076701380455058,0.117508538145276,0.0911138251489372,0.10697762427019
"Eutetras_palmeri_63",0.0936588342931639,0.0728562445271132,0.0498263524514641,0.0719825432907157,0.0624588979848459,1
"Eutetras_pringlei_149_quer",0.19564433618318,0.0603376399141487,0.0492959264835336,0.145915690017455,0.0707376853703261,0.423911193182348
"Eutrochium_fistulosum_SRR9119106",0.190776307114533,0.117301924632801,0.0787701933283901,0.155834448916232,0.123009749616698,0.15025055859045
"Galeana_pratensis_104_mex",0.241062232593907,0.0912147047304578,0.0660721426480333,0.166152136855426,0.100556876440829,0.117322639979089
"Helianthus_annuus_SRR9119062",0.170293413116252,0.0659648713563627,0.0684768302054091,0.105817044971962,0.0678378656962059,0.089236011241212
"Lycapsus_tenuifolius_17",0.264430476279742,0.144909309245775,0.129228205792474,0.157752712504713,0.186586508307504,0.18788769422909
"Pericome_caudata_50_silver",0.0690132721825237,1,0.033407234747432,0.0512058933414807,0.0457408137828155,0.05535854929114
"Perityle_aglossa_84_dead_horse",0.123197455268559,0.0718291387908271,0.0848573745380039,0.259264515272493,0.564628247605956,0.087122500413483
"Perityle_ajoensis_204",0.120903234808245,0.0636526779265544,0.0791341979383291,0.24257247317282,0.624513859913302,0.0973399320265085
"Perityle_ambrosiifolia_67_green",0.0807200273517091,0.041259482381505,0.0495630765582042,0.114723268775622,1,0.0594260476656944
"Perityle_angustifolia_13_Eagle_creek",0.166647317391661,0.0553550619842339,0.0723154702127667,0.26879030247119,0.46095627106924,0.0917583436373172
"Perityle_batopilensis_97",0.135385102052337,0.086348911857119,0.124497998732637,0.342801745670928,0.387339305146305,0.117994916662897
"Perityle_bisetosa_9",0.133770147654495,0.0635386052970989,0.0923438090075729,0.283803012882323,0.570891918958712,0.106892855946679
"Perityle_californica_76_positas",1,0.0432924465083001,0.0390030686885626,0.0660515854610258,0.0469174391975441,0.0453824743303907
