"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","pert","perc","gali","lap1","lap2","eute"
"39","Perityle_gamon_221",254081,229.7,4,4,156,1.181,83.12,56.25,44.38,27.5,7.70769,6.47882,18.40817,8.93944,8.34798,7.35313
"40","Perityle_gentryi_8_san_francisco",225757,204.1,4,7,153,1.474,85.62,68.12,53.12,28.12,4.97952,5.6442,7.04306,15.24273,17.31748,6.06859
"41","Perityle_gilensis_22_Superstition",269196,243.4,4,2,156,2.484,98.73,89.87,76.58,55.7,5.22676,3.8866,3.5649,11.43321,34.79173,4.71398
"42","Perityle_gilensis_salensis_225",258564,233.8,4,3,157,1.031,66.25,45.63,35.62,25.62,4.04476,4.10857,4.25476,10.19446,39.84503,5.13396
"43","Perityle_glaucescens_94",265944,240.5,4,11,148,1.433,96.86,77.99,58.49,25.16,7.27219,7.04481,18.36859,8.87329,9.95727,7.83207
"44","Perityle_gracilis_11",214008,193.5,4,5,155,2.741,98.75,95,83.12,62.5,4.76572,4.13587,5.0539,12.54466,33.30906,6.29419
"45","Perityle_harkerae_31",225382,203.8,4,6,154,1.524,90,76.88,59.38,33.13,6.51661,6.37733,15.09549,7.80347,8.95008,7.30261
"46","Perityle_hofmeisteria_4_nombre_de_dios",317036,286.6,4,7,150,0.819,77.07,43.31,32.48,17.2,5.63563,7.4843,20.93363,6.91296,9.28847,6.44741
"47","Perityle_huecosensis_48",266161,240.6,4,8,151,1.14,77.36,52.83,43.4,23.27,5.06306,4.29077,5.41558,12.41117,31.91497,5.64096
"48","Perityle_incana_3_ucla",141664,128.1,4,0,151,6.427,98.68,97.35,96.69,93.38,12.81401,6.03931,9.90577,11.156,11.20628,7.47651
"49","Perityle_intricata_59_Clark_mtns",278276,251.6,4,5,154,2.098,99.37,83.65,66.67,47.8,4.50094,5.25955,4.57569,10.8976,34.92502,4.76431
"50","Perityle_inyoensis_9_pleasant",274175,247.9,4,3,156,1.411,84.28,65.41,47.8,35.22,4.16291,4.78658,4.94924,11.07201,33.18825,5.291
"51","Perityle_jaliscana_203",236734,214,4,9,151,1.671,98.12,86.25,66.88,35,7.02533,6.33975,16.15943,9.24084,8.81418,7.71178
"52","Perityle_lemmonii_12",230326,208.2,4,6,153,2.132,94.97,74.21,65.41,44.65,4.75881,3.76182,4.4929,13.10133,34.98237,5.9684
"53","Perityle_lemmonii_85_hachita",260007,235.1,4,2,157,1.641,84.91,61.64,53.46,37.74,3.68834,4.06304,4.43735,9.62601,28.60245,4.98412
"54","Perityle_lemmonii_colossal_cave_206",246054,222.5,4,3,156,2.495,96.23,79.87,71.7,56.6,4.29171,3.79509,4.52338,11.59478,35.58902,5.47654
"55","Perityle_leptoglossa_20_rancho_las_laminas",248242,224.4,4,4,154,2.082,93.67,77.85,63.29,44.3,4.878,4.87475,5.56958,21.84556,16.6403,5.63364
"56","Perityle_lindheimeri_34",211920,191.6,4,2,158,2.236,95.62,78.12,69.38,51.88,5.50646,4.27441,4.98864,13.78962,31.65211,6.32354
"57","Perityle_lineariloba_78",202188,182.8,4,2,156,2.301,92.41,77.85,66.46,51.27,7.37906,6.12266,17.69906,8.21194,9.0067,7.94443
"58","Perityle_lloydii_79",127937,115.7,4,2,156,1.398,72.15,46.2,36.08,28.48,7.85283,4.53027,7.15235,17.58215,15.99677,6.88929
"59","Perityle_lobata_119_mesa_tinajas",131069,118.5,4,2,158,2.486,95.62,83.75,70.62,52.5,5.04515,3.02891,2.72386,47.00084,6.75249,3.66365
"60","Perityle_megalocephala_19_meg_Echo",253222,228.9,4,3,156,1.721,89.94,75.47,61.01,34.59,4.9234,4.4803,4.74402,10.60869,30.55262,5.09145
"61","Perityle_megalocephala_29_tin_mountain",288092,260.5,4,2,158,2.118,98.75,86.88,75,50,4.1963,4.23806,4.60558,10.86393,33.21632,4.42221
"62","Perityle_microglossa_73_tecolote",179475,162.3,4,4,155,3.453,96.86,94.34,86.16,70.44,7.22943,5.9504,16.19355,7.83527,8.69898,5.99348
"63","Perityle_microglossa_83_isla_venados",77564,70.1,4,4,145,3.854,89.93,84.56,81.88,71.81,9.61949,4.79158,11.11508,9.37259,6.36096,5.19287
"64","Perityle_montana_80",189030,170.9,4,4,154,4.097,100,96.84,93.04,80.38,9.02228,6.0359,13.30257,9.83156,8.99541,7.28438
"65","Perityle_palmeri_21_rancho_nuevo",93421,84.5,4,4,152,3.136,96.79,88.46,77.56,57.69,6.84222,4.80893,3.76153,19.27969,9.90247,4.32545
"66","Perityle_parryi_80_lower_window",312456,282.5,4,2,155,2.26,93.63,85.99,75.16,52.23,3.7976,5.4705,5.96297,11.45172,32.37497,4.97639
"67","Perityle_pseudociliata_140",249077,225.2,4,13,146,1.036,91.19,61.01,37.74,16.98,6.61682,6.30904,16.84589,7.69845,9.36479,6.88343
"68","Perityle_reinana_7_mazatan",237307,214.6,4,0,160,1.973,95,80.62,65.62,45,5.52055,3.90883,4.50815,19.61059,13.3443,5.14611
"69","Perityle_rosei_74",218770,197.8,4,4,156,1.383,88.75,68.12,50,28.12,8.29486,15.21297,5.63173,7.35095,7.31263,11.29804
"70","Perityle_rosei_jalisco_223",225684,204.1,4,1,140,5.103,98.58,98.58,95.74,91.49,6.39078,17.38658,7.0443,6.3069,8.639,10.30752
"71","Perityle_rupestris_10_rupestris_davis",71834,64.9,4,1,141,1.389,64.79,51.41,42.25,26.76,8.2095,3.89167,4.26812,12.33142,16.5915,4.79003
"72","Perityle_rupestris_30_albiflora_chisos",231188,209,4,3,157,1.597,86.25,61.25,50,38.75,4.53937,4.11562,4.92055,10.854,27.86647,5.58233
"73","Perityle_saxicola_224",309550,279.9,4,5,155,1.694,93.75,69.38,56.25,33.13,3.378,3.88567,4.38119,9.30992,41.26274,4.86287
"74","Perityle_socorrensis_san_benedicto_213",206021,186.3,4,1,159,0.653,42.5,33.75,28.12,15.62,11.69558,8.82403,7.12082,7.90708,8.12178,9.82269
"75","Perityle_specuicola_41_negro_bill_canyon",273496,247.3,4,7,153,1.77,96.88,79.38,60,37.5,4.24475,4.41397,4.6077,9.2621,31.02767,4.91462
