Removal of putative paralog loci.Paralogs removed for all samples:
Variable 'remove_loci_for_all_samples_with_more_than_this_mean_proportion_of_SNPs' set to: outliers
Resulting threshold value (mean proportion of SNPs): 0.0488 
4 loci were removed:
locus	mean_prop_SNPs
At2g03150	0.0593
At2g35330	0.0553
At4g18880	0.059
At5g39850	0.0625

Paralogs removed for each sample:
Sample	threshold	#removed	names
Perityle_parryi_80_lower_window 	0.06791	2	At2g30410, At4g02980
Perityle_pseudociliata_140 	0.03226	13	At1g12840, At1g36240, At1g77310, At1g80090, At3g47810, At3g52750, At3g60600, At3g62600, At4g02980, At4g11420, At4g16520, At5g15610, At5g49960
Perityle_reinana_7_mazatan 	0.06639	0	
Perityle_rosei_74 	0.05601	4	At1g33810, At4g11420, At5g04420, At5g05920
Perityle_rosei_jalisco_223 	0.11212	1	
Perityle_rupestris_10_rupestris_davis 	0.06596	1	
Perityle_rupestris_30_albiflora_chisos 	0.0752	3	At1g36240, At3g12600, At5g59180
Perityle_saxicola_224 	0.06388	5	At1g15140, At2g27600, At3g12600, At3g15640, At3g48030
Perityle_socorrensis_san_benedicto_213 	0.06234	1	
Perityle_specuicola_41_negro_bill_canyon 	0.06215	7	At1g51510, At1g69640, At2g30410, At2g38040, At3g15640, At4g33250, At5g05920
Perityle_stansburyi_42_rock_spring 	0.06421	5	At2g27600, At2g39780, At3g06050, At3g51800, At3g52300
Perityle_staurophylla_42 	0.06989	3	At2g39780, At4g01100, At4g02980
Perityle_tenella_86_Beaver_dam 	0.09223	2	At1g11790, At1g26880
Perityle_trichodonta_bolanos_208 	0.04537	7	At1g12840, At1g77310, At2g27600, At2g39780, At3g51800, At4g11420, At5g15610
Perityle_turneri_33_Mexiquilla 	0.05832	6	At1g34220, At1g51510, At1g64200, At2g27960, At3g26070, At5g05920
Perityle_vandevenderi_117_sierra_cucurpe 	0.05522	2	At3g60600, At4g11420
Perityle_vaseyi_ernst_209 	0.07242	1	
Perityle_vigilans_109 	0.06059	7	At1g03250, At1g04560, At2g15290, At3g46560, At3g52300, At4g02980, At4g11420
Perityle_villosa_45_Hanuapah_cyn 	0.06706	1	
Perityle_yellow_87 	0.14118	2	At3g15640, At3g60600
